time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-11-24 10:13:17.305 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,577156612096,-1,-1,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1700820797273,,, , , , , , , , , ,3145728,1377,1,1,0,1, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,16,39,172955952, , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-24 10:14:17.309 UTC, , , , , , , , , ,589,3279013,131800,896, ,10, ,1499, , , , , , , , , ,10,10, , , ,1,2,12, ,1117, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,576403472384,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1700820797273,,, , , , , , , , , ,3145728,107191,1,1,0,2, , , ,99,99,2,99, ,3,101, , , , , , , , , , ,4096,2,105793,101, , , , , , ,1,3,249479968, , , , , , , ,1499, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,29, ,183, , ,1009,268,1, , , , , , , , , 
2023-11-24 10:15:17.313 UTC, , , , , , , , , ,589,3322645,174424,1904, ,14, ,915, , , , , , , , , ,14,14, , , ,1,2,15, ,917, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,575626936320,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1700820797273,,, , , , , , , , , ,3145728,137746,1,1,0,1, , , ,15,15, ,15, ,3,18, , , , , , , , , , , , ,30556,22, , , , , , ,1,3,81821568, , , , , , , ,1333, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,64, ,210,581,96,7, , , , , , , , , 
2023-11-24 10:16:17.317 UTC, , , , , , , , , ,589,3322645,174424,1904, ,14, , , , , , , , , , , ,14,14, , , ,1,2,15, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,137776,574797447168,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,137776,1700820797273,,, , , , , , , , , ,3145728,137746, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,100695936, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-24 10:17:17.322 UTC, , , , , , , , , ,589,3322645,174424,1904, ,14, , , , , , , , , , , ,14,14, , , ,1,2,15, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,137776,574611456000,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,137776,1700820797273,,, , , , , , , , , ,3145728,137746, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,106987392, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-24 10:18:17.327 UTC, , , , , , , , , ,589,3322645,174424,1904, ,14, , , , , , , , , , , ,14,14, , , ,1,2,15, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,137776,574178525184,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,137776,1700820797273,,, , , , , , , , , ,3145728,137746, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,119570304, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-24 10:19:17.330 UTC, , , , , , , , , ,589,3322645,174424,1904, ,14, , , , , , , , , , , ,14,14, , , ,1,2,15, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,137776,573941350400,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,137776,1700820797273,,, , , , , , , , , ,3145728,137746, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,127958912, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-24 10:20:17.333 UTC, , , , , , , , , ,589,3322645,174424,1904, ,14, , , , , , , , , , , ,14,14, , , ,1,2,15, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,137776,573688381440,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,137776,1700820797273,,, , , , , , , , , ,3145728,137746, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,134250368, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-24 10:21:17.336 UTC, , , , , , , , , ,589,3322645,174424,1904, ,14, , , , , , , , , , , ,14,14, , , ,1,2,15, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,137776,573539876864,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,137776,1700820797273,,, , , , , , , , , ,3145728,137746, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,142638976, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-11-24 10:22:17.339 UTC, , , , , , , , , ,589,3322645,174424,1904, ,14, , , , , , , , , , , ,14,14, , , ,1,2,15, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,137776,573288808448,73,73,73,73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,137776,1700820797273,,, , , , , , , , , ,3145728,137746, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,148930432, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
